_\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	My girl, my girl, don't lie to me
My girl, my girl, don't lie to me\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	Tell me where did you sleep last night
My girl, my girl, don't lie to me\nTell me where did you sleep last night\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n	In the pines, in the pines
My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\n_\nI would shiver the whole night through\n	Where the sun don't ever shine
My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n	I would shiver the whole night through
1\n	My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
_\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	My girl, my girl, where will you go
My girl, my girl, where will you go\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	I'm going where the cold wind blows
My girl, my girl, where will you go\nI'm going where the cold wind blows\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n	In the pines, in the pines
My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\n_\nI would shiver the whole night through\n	Where the sun don't ever shine
My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n	I would shiver the whole night through
2\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
_\nJust a mile and a half from here\nHis head was found in a driving wheel\nBut his body never was found\n	Her husband, was a hard working man
Her husband, was a hard working man\n_\nHis head was found in a driving wheel\nBut his body never was found\n	Just a mile and a half from here
Her husband, was a hard working man\nJust a mile and a half from here\n_\nBut his body never was found\n	His head was found in a driving wheel
Her husband, was a hard working man\nJust a mile and a half from here\nHis head was found in a driving wheel\n_\n	But his body never was found
3\n	Her husband, was a hard working man\nJust a mile and a half from here\nHis head was found in a driving wheel\nBut his body never was found\n
_\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	My girl, my girl, don't you lie to me
My girl, my girl, don't you lie to me\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	Tell me where did you sleep last night
My girl, my girl, don't you lie to me\nTell me where did you sleep last night\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n	In the pines, in the pines
My girl, my girl, don't you lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\n_\nI would shiver the whole night through\n	Where the sun don't ever shine
My girl, my girl, don't you lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n	I would shiver the whole night through
4\n	My girl, my girl, don't you lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
_\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	My girl, my girl, where will you go
My girl, my girl, where will you go\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	I'm going where the cold wind blows
My girl, my girl, where will you go\nI'm going where the cold wind blows\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n	In the pines, in the pines
My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\n_\nI would shiver the whole night through\n	Where the sun don't ever shine
My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n	I would shiver the whole night through
5\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
_\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	My girl, my girl, don't lie to me
My girl, my girl, don't lie to me\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	Tell me where did you sleep last night
My girl, my girl, don't lie to me\nTell me where did you sleep last night\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n	In the pines, in the pines
My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\n_\nI would shiver the whole night through\n	Where the sun don't ever shine
My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n	I would shiver the whole night through
6\n	My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
_\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	My girl, my girl, where will you go
My girl, my girl, where will you go\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n	I'm going where the cold wind blows
My girl, my girl, where will you go\nI'm going where the cold wind blows\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n	In the pines, in the pines
My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\n_\nI would shiver the whole night through\n	Where the sun don't ever shine
My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n	I would shiver the whole night through
7\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
My girl, my girl, don't lie to me\n	_\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Tell me where did you sleep last night\n	My girl, my girl, don't lie to me\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
In the pines, in the pines\n	My girl, my girl, don't lie to me\nTell me where did you sleep last night\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Where the sun don't ever shine\n	My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\n_\nI would shiver the whole night through\n
I would shiver the whole night through\n	My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n
My girl, my girl, where will you go\n	_\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
I'm going where the cold wind blows\n	My girl, my girl, where will you go\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
In the pines, in the pines\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Where the sun don't ever shine\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\n_\nI would shiver the whole night through\n
I would shiver the whole night through\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n
Her husband, was a hard working man\n	_\nJust a mile and a half from here\nHis head was found in a driving wheel\nBut his body never was found\n
Just a mile and a half from here\n	Her husband, was a hard working man\n_\nHis head was found in a driving wheel\nBut his body never was found\n
His head was found in a driving wheel\n	Her husband, was a hard working man\nJust a mile and a half from here\n_\nBut his body never was found\n
But his body never was found\n	Her husband, was a hard working man\nJust a mile and a half from here\nHis head was found in a driving wheel\n_\n
My girl, my girl, don't you lie to me\n	_\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Tell me where did you sleep last night\n	My girl, my girl, don't you lie to me\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
In the pines, in the pines\n	My girl, my girl, don't you lie to me\nTell me where did you sleep last night\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Where the sun don't ever shine\n	My girl, my girl, don't you lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\n_\nI would shiver the whole night through\n
I would shiver the whole night through\n	My girl, my girl, don't you lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n
My girl, my girl, where will you go\n	_\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
I'm going where the cold wind blows\n	My girl, my girl, where will you go\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
In the pines, in the pines\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Where the sun don't ever shine\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\n_\nI would shiver the whole night through\n
I would shiver the whole night through\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n
My girl, my girl, don't lie to me\n	_\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Tell me where did you sleep last night\n	My girl, my girl, don't lie to me\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
In the pines, in the pines\n	My girl, my girl, don't lie to me\nTell me where did you sleep last night\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Where the sun don't ever shine\n	My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\n_\nI would shiver the whole night through\n
I would shiver the whole night through\n	My girl, my girl, don't lie to me\nTell me where did you sleep last night\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n
My girl, my girl, where will you go\n	_\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
I'm going where the cold wind blows\n	My girl, my girl, where will you go\n_\nIn the pines, in the pines\nWhere the sun don't ever shine\nI would shiver the whole night through\n
In the pines, in the pines\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\n_\nWhere the sun don't ever shine\nI would shiver the whole night through\n
Where the sun don't ever shine\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\n_\nI would shiver the whole night through\n
I would shiver the whole night through\n	My girl, my girl, where will you go\nI'm going where the cold wind blows\nIn the pines, in the pines\nWhere the sun don't ever shine\n_\n
